user_id,sessions,last_login_days,revenue,country,churn,segment,segment_name
53,57,37,1754,Ethiopia,0,1,Loyal
54,29,89,1256,Uganda,1,3,Dormant
55,30,23,2124,Bermuda,0,2,At Risk
56,18,81,2955,Korea,1,0,Dormant
57,85,63,3796,United States of America,1,4,High Value
58,89,58,810,Christmas Island,1,1,Loyal
59,57,62,1290,Kuwait,1,3,Dormant
60,26,49,1450,Angola,1,3,Dormant
61,68,90,2198,Wallis and Futuna,1,3,Dormant
62,63,28,2073,Switzerland,0,1,Loyal
63,93,62,2236,Chile,1,4,High Value
64,15,26,3684,Tajikistan,0,2,At Risk
65,33,3,307,Nicaragua,0,2,At Risk
66,19,18,2977,Jersey,0,2,At Risk
67,21,49,1219,Liechtenstein,1,3,Dormant
68,8,9,3612,Philippines,0,2,At Risk
69,5,68,440,Turks and Caicos Islands,1,3,Dormant
70,81,57,4641,Slovakia (Slovak Republic),1,4,High Value
71,96,64,4499,Somalia,1,4,High Value
72,58,1,305,Gibraltar,0,1,Loyal
73,16,71,3844,Turkey,1,0,Dormant
74,100,57,2589,Aruba,1,4,High Value
75,77,12,4032,India,0,4,High Value
76,13,4,4338,Jordan,0,2,At Risk
77,56,38,1153,Togo,0,1,Loyal
78,42,21,1329,Heard Island and McDonald Islands,0,2,At Risk
79,4,58,1712,Eritrea,1,3,Dormant
80,48,43,4421,Vanuatu,0,4,High Value
81,21,77,485,Canada,1,3,Dormant
82,58,10,4243,Equatorial Guinea,0,4,High Value
83,93,45,1374,Andorra,0,1,Loyal
84,44,59,2678,Faroe Islands,1,0,Dormant
85,30,27,850,Seychelles,0,2,At Risk
86,18,8,2992,Azerbaijan,0,2,At Risk
87,81,79,1537,Guadeloupe,1,3,Dormant
88,75,36,4243,Vietnam,0,4,High Value
89,17,28,2050,Korea,0,2,At Risk
90,6,2,4292,Romania,0,2,At Risk
91,17,23,2952,Andorra,0,2,At Risk
92,27,28,1800,Central African Republic,0,2,At Risk
93,16,57,4073,Seychelles,1,0,Dormant
94,96,15,350,Andorra,0,1,Loyal
95,93,67,2775,Lao People's Democratic Republic,1,4,High Value
96,52,11,4875,Tajikistan,0,4,High Value
97,8,84,3716,Mali,1,0,Dormant
98,43,23,1113,Tunisia,0,1,Loyal
99,47,64,2265,South Africa,1,3,Dormant
100,65,64,2215,Eritrea,1,3,Dormant
101,45,2,2568,Ecuador,0,2,At Risk
102,5,24,2295,Liberia,0,2,At Risk
103,12,10,1015,Brazil,0,2,At Risk
104,74,80,3975,Greece,1,4,High Value
105,9,84,1305,Saint Vincent and the Grenadines,1,3,Dormant
106,11,54,2969,Isle of Man,1,0,Dormant
107,79,30,921,Israel,0,1,Loyal
108,62,72,1505,Iceland,1,3,Dormant
109,19,2,1063,Mozambique,0,2,At Risk
110,51,15,3768,Nepal,0,2,At Risk
111,5,5,3376,Isle of Man,0,2,At Risk
112,61,49,4450,Pitcairn Islands,1,4,High Value
113,27,28,2750,Congo,0,2,At Risk
114,18,44,562,Saint Martin,0,3,Dormant
115,75,45,2882,Guadeloupe,0,4,High Value
116,17,41,4210,Brunei Darussalam,0,0,Dormant
117,86,35,86,Greece,0,1,Loyal
118,25,36,2679,Burkina Faso,0,2,At Risk
119,78,22,3855,Cameroon,0,4,High Value
120,61,84,646,Luxembourg,1,3,Dormant
121,88,76,3007,Portugal,1,4,High Value
122,94,25,2183,Tunisia,0,1,Loyal
123,5,68,0,Dominican Republic,1,3,Dormant
124,38,80,4583,Mauritania,1,0,Dormant
125,55,90,478,Madagascar,1,3,Dormant
126,79,80,1000,Albania,1,3,Dormant
127,12,36,1296,Estonia,0,2,At Risk
128,83,55,801,Germany,1,1,Loyal
129,33,74,4811,Greenland,1,0,Dormant
130,9,31,1587,Tanzania,0,2,At Risk
131,19,14,3041,Saint Kitts and Nevis,0,2,At Risk
132,42,89,3696,Papua New Guinea,1,0,Dormant
133,99,21,4574,Italy,0,4,High Value
134,38,42,4975,Kyrgyz Republic,0,0,Dormant
135,73,78,4866,Cameroon,1,4,High Value
136,96,42,3001,Singapore,0,4,High Value
137,86,9,4783,Morocco,0,4,High Value
138,50,72,1938,Guernsey,1,3,Dormant
139,85,11,436,Luxembourg,0,1,Loyal
140,56,65,4963,Tanzania,1,4,High Value
141,96,54,2062,Faroe Islands,1,4,High Value
142,96,80,2910,Bulgaria,1,4,High Value
143,89,26,2677,South Georgia and the South Sandwich Islands,0,1,Loyal
144,80,78,2986,Egypt,1,4,High Value
145,16,35,2057,Syrian Arab Republic,0,2,At Risk
146,84,12,3762,South Africa,0,4,High Value
147,100,50,3847,Portugal,1,4,High Value
148,56,20,1801,Barbados,0,1,Loyal
149,28,39,3981,Slovenia,0,0,Dormant
150,77,48,3345,United States of America,1,4,High Value
151,7,24,2021,Tuvalu,0,2,At Risk
152,96,62,408,Belarus,1,1,Loyal
153,74,23,566,Azerbaijan,0,1,Loyal
154,28,2,4513,Bouvet Island (Bouvetoya),0,2,At Risk
155,4,60,2279,Maldives,1,0,Dormant
156,81,49,1630,Andorra,1,1,Loyal
157,13,27,399,Bermuda,0,2,At Risk
158,17,32,3028,Congo,0,2,At Risk
159,34,8,2514,Sierra Leone,0,2,At Risk
160,68,81,3742,El Salvador,1,4,High Value
161,72,24,4506,Tajikistan,0,4,High Value
162,65,59,895,Cameroon,1,3,Dormant
163,100,26,3979,Malta,0,4,High Value
164,57,12,3764,Korea,0,2,At Risk
165,16,80,4140,Guatemala,1,0,Dormant
166,71,77,4675,Russian Federation,1,4,High Value
167,65,23,787,Seychelles,0,1,Loyal
168,15,79,4419,Jersey,1,0,Dormant
169,50,69,1743,Gabon,1,3,Dormant
170,26,39,1329,Norfolk Island,0,2,At Risk
171,58,72,1538,Sierra Leone,1,3,Dormant
172,9,2,4240,Kenya,0,2,At Risk
173,93,76,1322,Montserrat,1,3,Dormant
174,84,30,4255,Benin,0,4,High Value
175,60,86,4458,French Southern Territories,1,0,Dormant
176,21,3,407,Mexico,0,2,At Risk
177,93,29,2936,Israel,0,4,High Value
178,2,69,1717,Gabon,1,3,Dormant
179,12,16,3515,United States of America,0,2,At Risk
180,26,36,2453,United Kingdom,0,2,At Risk
181,86,32,3494,Greece,0,4,High Value
182,62,31,2643,Portugal,0,1,Loyal
183,58,20,2299,Comoros,0,1,Loyal
184,50,75,4252,Eritrea,1,0,Dormant
185,4,77,4831,Peru,1,0,Dormant
186,67,47,100,Guatemala,1,1,Loyal
187,23,30,4056,Romania,0,2,At Risk
188,37,75,4722,Papua New Guinea,1,0,Dormant
189,96,82,3879,Wallis and Futuna,1,4,High Value
190,20,66,3001,Croatia,1,0,Dormant
191,90,58,1643,United States Minor Outlying Islands,1,1,Loyal
192,60,37,199,Cameroon,0,1,Loyal
193,10,2,2234,Monaco,0,2,At Risk
194,78,13,3449,French Southern Territories,0,4,High Value
195,73,20,1830,United States Minor Outlying Islands,0,1,Loyal
196,85,45,1779,Moldova,0,1,Loyal
197,51,19,2106,Anguilla,0,2,At Risk
198,63,34,4886,Saint Lucia,0,4,High Value
199,45,38,365,Serbia,0,1,Loyal
200,34,42,2225,Cocos (Keeling) Islands,0,2,At Risk
201,55,14,253,Myanmar,0,1,Loyal
202,54,46,3982,Chile,1,4,High Value
203,69,41,2044,Iran,0,1,Loyal
204,97,32,1100,Australia,0,1,Loyal
205,87,45,4995,Eritrea,0,4,High Value
206,75,88,4529,Peru,1,4,High Value
207,61,4,2161,Korea,0,1,Loyal
208,33,87,2759,Mauritius,1,0,Dormant
209,4,51,1111,Nigeria,1,3,Dormant
210,17,88,4224,Luxembourg,1,0,Dormant
211,84,57,659,Sudan,1,1,Loyal
212,60,3,256,Singapore,0,1,Loyal
213,30,12,659,Western Sahara,0,2,At Risk
214,24,56,1404,Togo,1,3,Dormant
215,16,80,259,Montenegro,1,3,Dormant
216,73,48,1968,Lebanon,1,1,Loyal
217,85,90,4643,Guatemala,1,4,High Value
218,52,40,1800,Mexico,0,1,Loyal
219,3,3,3551,Equatorial Guinea,0,2,At Risk
220,68,7,3415,Puerto Rico,0,4,High Value
221,14,18,2143,Madagascar,0,2,At Risk
222,41,63,3058,Argentina,1,0,Dormant
223,2,3,2622,Norway,0,2,At Risk
224,27,87,316,Pitcairn Islands,1,3,Dormant
225,80,27,4065,Spain,0,4,High Value
226,53,67,3961,United States Virgin Islands,1,0,Dormant
227,85,5,1789,Luxembourg,0,1,Loyal
228,56,58,782,Kenya,1,3,Dormant
229,79,34,344,Jordan,0,1,Loyal
230,86,7,1628,North Macedonia,0,1,Loyal
231,30,13,4367,South Africa,0,2,At Risk
232,66,9,4835,Andorra,0,4,High Value
233,35,86,731,Tokelau,1,3,Dormant
234,95,78,4681,Burkina Faso,1,4,High Value
235,50,66,259,Slovakia (Slovak Republic),1,3,Dormant
236,13,13,2169,Saint Kitts and Nevis,0,2,At Risk
237,69,84,3088,Argentina,1,4,High Value
238,36,15,3654,Tanzania,0,2,At Risk
239,37,24,1697,Saint Martin,0,2,At Risk
240,54,19,3861,Mali,0,4,High Value
241,26,79,1788,Antarctica (the territory South of 60 deg S),1,3,Dormant
242,11,49,4379,New Zealand,1,0,Dormant
243,97,66,1923,Sao Tome and Principe,1,4,High Value
244,53,28,4037,Senegal,0,4,High Value
245,23,77,3572,Sierra Leone,1,0,Dormant
246,13,43,947,Tunisia,0,2,At Risk
247,60,46,4929,Angola,1,4,High Value
248,34,13,4080,Vanuatu,0,2,At Risk
249,23,29,713,Lithuania,0,2,At Risk
250,57,66,4772,Guatemala,1,4,High Value
251,86,53,4584,Croatia,1,4,High Value
252,19,35,3868,Guernsey,0,2,At Risk
253,84,6,1219,Slovakia (Slovak Republic),0,1,Loyal
254,62,6,1337,Indonesia,0,1,Loyal
255,24,73,2142,Bulgaria,1,3,Dormant
256,42,84,4980,Bolivia,1,0,Dormant
257,57,76,3459,Samoa,1,0,Dormant
258,65,32,2435,Seychelles,0,1,Loyal
259,81,21,2162,Saint Barthelemy,0,1,Loyal
260,66,53,3362,Mali,1,4,High Value
261,96,3,4354,Saint Helena,0,4,High Value
262,57,50,4720,Netherlands,1,4,High Value
263,93,34,933,Grenada,0,1,Loyal
264,65,29,4868,Luxembourg,0,4,High Value
265,1,29,3797,Central African Republic,0,2,At Risk
266,90,44,4592,Afghanistan,0,4,High Value
267,49,18,981,Hong Kong,0,1,Loyal
268,65,54,4880,Mongolia,1,4,High Value
269,57,81,1747,New Caledonia,1,3,Dormant
270,83,54,3995,Greenland,1,4,High Value
271,54,50,3694,Guatemala,1,4,High Value
272,19,16,1976,Costa Rica,0,2,At Risk
273,99,58,4506,Senegal,1,4,High Value
274,15,41,1065,Ireland,0,2,At Risk
275,38,72,3457,India,1,0,Dormant
276,18,34,1424,Central African Republic,0,2,At Risk
277,94,61,2731,Dominican Republic,1,4,High Value
278,88,26,376,Denmark,0,1,Loyal
279,100,38,1958,Lao People's Democratic Republic,0,1,Loyal
280,87,20,100,Guyana,0,1,Loyal
281,71,21,3613,Andorra,0,4,High Value
282,30,86,3708,Aruba,1,0,Dormant
283,85,73,528,United Kingdom,1,3,Dormant
284,43,67,151,Niue,1,3,Dormant
285,87,52,1570,Gabon,1,1,Loyal
286,19,40,2326,Grenada,0,2,At Risk
287,28,7,1013,Panama,0,2,At Risk
288,6,2,4221,Moldova,0,2,At Risk
289,57,87,4779,Anguilla,1,0,Dormant
290,64,27,1606,Turkey,0,1,Loyal
291,9,29,3567,Morocco,0,2,At Risk
292,16,49,59,Canada,1,3,Dormant
293,26,13,4368,Macao,0,2,At Risk
294,12,36,4728,Brunei Darussalam,0,0,Dormant
295,72,25,3372,Norfolk Island,0,4,High Value
296,29,30,2224,Ghana,0,2,At Risk
297,51,70,3377,Honduras,1,0,Dormant
298,57,79,270,Thailand,1,3,Dormant
299,39,11,2000,Costa Rica,0,2,At Risk
300,47,40,4615,Madagascar,0,4,High Value
301,61,46,147,Guatemala,1,1,Loyal
302,31,24,4710,Korea,0,2,At Risk
303,39,15,4755,Sri Lanka,0,2,At Risk
304,71,72,4728,Latvia,1,4,High Value
305,78,53,399,Cambodia,1,1,Loyal
306,49,2,1113,Colombia,0,1,Loyal
307,17,8,3012,Ukraine,0,2,At Risk
308,25,47,4027,Myanmar,1,0,Dormant
309,50,80,1938,Yemen,1,3,Dormant
310,67,4,2594,Zambia,0,1,Loyal
311,14,20,1033,Niue,0,2,At Risk
312,59,4,4513,Guinea,0,4,High Value
313,98,17,3084,Belgium,0,4,High Value
314,22,17,1570,United States Virgin Islands,0,2,At Risk
315,27,84,785,Svalbard & Jan Mayen Islands,1,3,Dormant
316,15,60,300,Grenada,1,3,Dormant
317,81,3,3334,Afghanistan,0,1,Loyal
318,5,44,4794,Monaco,0,0,Dormant
319,87,15,224,Isle of Man,0,1,Loyal
320,26,77,3632,Western Sahara,1,0,Dormant
321,48,29,1264,Saint Kitts and Nevis,0,1,Loyal
322,34,83,1489,Korea,1,3,Dormant
323,27,66,3812,Austria,1,0,Dormant
324,20,51,56,Tokelau,1,3,Dormant
325,41,54,3597,Hong Kong,1,0,Dormant
326,74,12,789,Djibouti,0,1,Loyal
327,47,79,4795,Saudi Arabia,1,0,Dormant
328,63,70,801,Somalia,1,3,Dormant
329,11,6,3476,Benin,0,2,At Risk
330,57,84,957,Malaysia,1,3,Dormant
331,50,78,3245,Namibia,1,0,Dormant
332,60,65,4743,Macao,1,4,High Value
333,3,12,1378,Czech Republic,0,2,At Risk
334,70,58,1583,Nicaragua,1,3,Dormant
335,72,64,2923,El Salvador,1,4,High Value
336,90,61,3438,Andorra,1,4,High Value
337,16,27,4580,Zimbabwe,0,2,At Risk
338,35,70,1297,United States Minor Outlying Islands,1,3,Dormant
339,16,83,4076,Turkey,1,0,Dormant
340,3,52,4696,Bhutan,1,0,Dormant
341,20,20,3951,Bangladesh,0,2,At Risk
342,5,43,4916,American Samoa,0,0,Dormant
343,79,25,2575,Saint Kitts and Nevis,0,1,Loyal
344,81,43,538,Finland,0,1,Loyal
345,56,70,2576,Comoros,1,3,Dormant
346,16,90,4497,South Africa,1,0,Dormant
347,77,78,2521,Germany,1,3,Dormant
348,39,79,2727,Denmark,1,0,Dormant
349,2,25,2015,India,0,2,At Risk
350,21,41,4106,Papua New Guinea,0,0,Dormant
351,55,25,1063,Myanmar,0,1,Loyal
352,28,57,1744,Azerbaijan,1,3,Dormant
353,39,51,744,Holy See (Vatican City State),1,3,Dormant
354,100,6,3794,Nicaragua,0,4,High Value
355,65,8,4074,France,0,4,High Value
356,31,36,3325,Mauritania,0,2,At Risk
357,94,46,1952,British Indian Ocean Territory (Chagos Archipelago),1,1,Loyal
358,89,87,2809,Tunisia,1,4,High Value
359,51,1,3039,Malta,0,2,At Risk
360,86,77,3581,Congo,1,4,High Value
361,64,66,4503,Zambia,1,4,High Value
362,37,29,158,Swaziland,0,1,Loyal
363,63,81,3469,Falkland Islands (Malvinas),1,0,Dormant
364,71,3,432,Congo,0,1,Loyal
365,53,67,4329,Rwanda,1,0,Dormant
366,78,65,3993,Germany,1,4,High Value
367,46,22,1043,Denmark,0,1,Loyal
368,97,4,926,Burundi,0,1,Loyal
369,81,76,3870,Montenegro,1,4,High Value
370,57,64,602,Brunei Darussalam,1,3,Dormant
371,30,62,3200,Uzbekistan,1,0,Dormant
372,91,71,2711,Guernsey,1,4,High Value
373,69,13,3507,Mali,0,4,High Value
374,11,16,4354,Bosnia and Herzegovina,0,2,At Risk
375,51,8,4624,Marshall Islands,0,2,At Risk
376,13,55,1706,Qatar,1,3,Dormant
377,81,20,1960,Germany,0,1,Loyal
378,91,72,1446,Barbados,1,3,Dormant
379,35,1,3609,Mali,0,2,At Risk
380,73,1,3811,Iraq,0,4,High Value
381,64,85,1343,Saint Pierre and Miquelon,1,3,Dormant
382,87,63,3505,Sao Tome and Principe,1,4,High Value
383,54,62,1127,Lebanon,1,3,Dormant
384,98,35,636,Austria,0,1,Loyal
385,62,44,4673,Hong Kong,0,4,High Value
386,32,18,2921,Germany,0,2,At Risk
387,92,52,2546,Maldives,1,4,High Value
388,62,4,2709,Iran,0,1,Loyal
389,74,7,4189,Kyrgyz Republic,0,4,High Value
390,86,85,2597,Angola,1,4,High Value
391,16,42,1117,Cote d'Ivoire,0,2,At Risk
392,2,63,4064,Reunion,1,0,Dormant
393,40,88,4228,Fiji,1,0,Dormant
394,2,24,1506,Antarctica (the territory South of 60 deg S),0,2,At Risk
395,6,16,3040,United Kingdom,0,2,At Risk
396,71,31,686,Montenegro,0,1,Loyal
397,51,89,2323,France,1,3,Dormant
398,26,9,132,Mauritius,0,2,At Risk
399,51,55,3975,Tonga,1,0,Dormant
400,4,4,2935,Vietnam,0,2,At Risk
401,23,84,3822,British Virgin Islands,1,0,Dormant
402,49,55,4709,Spain,1,0,Dormant
403,41,58,202,British Virgin Islands,1,3,Dormant
404,36,2,2845,Tanzania,0,2,At Risk
405,67,54,958,South Africa,1,3,Dormant
406,52,68,1332,Turkmenistan,1,3,Dormant
407,35,59,2331,Singapore,1,3,Dormant
408,40,31,4437,Trinidad and Tobago,0,2,At Risk
409,62,84,1130,Fiji,1,3,Dormant
410,39,43,680,Iran,0,3,Dormant
411,8,4,2852,Cote d'Ivoire,0,2,At Risk
412,71,71,4389,Croatia,1,4,High Value
413,43,36,2320,Ukraine,0,2,At Risk
414,2,10,3983,Nicaragua,0,2,At Risk
415,24,69,3937,Malta,1,0,Dormant
416,14,83,1919,Saint Barthelemy,1,3,Dormant
417,22,67,1022,Ireland,1,3,Dormant
418,66,78,4112,United Arab Emirates,1,4,High Value
419,17,13,4701,Faroe Islands,0,2,At Risk
420,94,71,2790,Antarctica (the territory South of 60 deg S),1,4,High Value
421,2,27,4960,Taiwan,0,2,At Risk
422,75,13,2837,Macao,0,1,Loyal
423,82,21,2556,Serbia,0,1,Loyal
424,39,13,4822,Ethiopia,0,2,At Risk
425,51,31,1581,Botswana,0,1,Loyal
426,71,10,1404,Tonga,0,1,Loyal
427,48,84,1012,Portugal,1,3,Dormant
428,10,24,2520,Micronesia,0,2,At Risk
429,91,8,843,Belize,0,1,Loyal
430,21,83,2289,Hong Kong,1,0,Dormant
431,48,65,2758,Liechtenstein,1,0,Dormant
432,66,81,4347,Mexico,1,4,High Value
433,28,38,619,Andorra,0,3,Dormant
434,73,61,3310,Bouvet Island (Bouvetoya),1,4,High Value
435,73,57,3751,Monaco,1,4,High Value
436,81,53,1567,Belarus,1,1,Loyal
437,15,87,204,Guinea-Bissau,1,3,Dormant
438,48,43,598,Cuba,0,3,Dormant
439,30,10,2395,Cyprus,0,2,At Risk
440,79,50,2046,Zambia,1,1,Loyal
441,85,88,836,Yemen,1,3,Dormant
442,84,81,2992,Puerto Rico,1,4,High Value
443,46,18,1997,Bosnia and Herzegovina,0,2,At Risk
444,4,5,4260,Venezuela,0,2,At Risk
445,48,74,366,Moldova,1,3,Dormant
446,35,4,4191,Azerbaijan,0,2,At Risk
447,41,17,3692,Argentina,0,2,At Risk
448,26,49,2641,Qatar,1,0,Dormant
449,4,4,4834,Antarctica (the territory South of 60 deg S),0,2,At Risk
450,97,77,3233,French Polynesia,1,4,High Value
451,33,21,4361,Kyrgyz Republic,0,2,At Risk
452,74,67,4725,Afghanistan,1,4,High Value
453,42,15,613,Korea,0,1,Loyal
454,1,59,4067,Greece,1,0,Dormant
455,43,36,3957,Malta,0,4,High Value
456,91,60,1447,Niue,1,1,Loyal
457,36,68,1655,United States Virgin Islands,1,3,Dormant
458,17,4,4704,Italy,0,2,At Risk
459,12,2,4128,Chad,0,2,At Risk
460,60,29,4546,Paraguay,0,4,High Value
461,94,83,3514,Grenada,1,4,High Value
462,57,12,4295,Heard Island and McDonald Islands,0,4,High Value
463,95,70,4841,Finland,1,4,High Value
464,12,48,447,Tonga,1,3,Dormant
465,13,81,4722,Norfolk Island,1,0,Dormant
466,2,36,3847,Cook Islands,0,2,At Risk
467,92,21,2834,Panama,0,1,Loyal
468,38,48,2928,Nigeria,1,0,Dormant
469,53,36,4948,Antarctica (the territory South of 60 deg S),0,4,High Value
470,97,55,478,Bangladesh,1,1,Loyal
471,15,46,1904,Oman,1,2,At Risk
472,46,58,4504,Grenada,1,0,Dormant
473,17,63,2969,Congo,1,0,Dormant
474,18,87,1646,Turkmenistan,1,3,Dormant
475,11,35,2860,Belarus,0,2,At Risk
476,82,42,810,Tonga,0,1,Loyal
477,74,22,4217,Tajikistan,0,4,High Value
478,68,87,4488,Saint Kitts and Nevis,1,4,High Value
479,68,13,3257,Mexico,0,4,High Value
480,27,34,4549,Bahrain,0,0,Dormant
481,78,45,2602,Cocos (Keeling) Islands,0,4,High Value
482,68,42,1630,Liechtenstein,0,1,Loyal
483,41,59,2816,Northern Mariana Islands,1,0,Dormant
484,16,18,1779,Malta,0,2,At Risk
485,11,84,2506,Guernsey,1,0,Dormant
486,33,53,3351,Malawi,1,0,Dormant
487,23,24,4931,Denmark,0,2,At Risk
488,92,22,175,Indonesia,0,1,Loyal
489,100,9,533,Bahrain,0,1,Loyal
490,75,87,240,Bahrain,1,3,Dormant
491,17,26,4101,Ghana,0,2,At Risk
492,80,36,3908,Malaysia,0,4,High Value
493,6,62,3626,Uruguay,1,0,Dormant
494,17,82,836,Cameroon,1,3,Dormant
495,75,36,3134,Pitcairn Islands,0,4,High Value
496,59,42,2791,Iraq,0,4,High Value
497,100,42,138,Qatar,0,1,Loyal
498,68,58,2863,Malaysia,1,4,High Value
499,82,56,757,Namibia,1,1,Loyal
500,30,1,78,British Indian Ocean Territory (Chagos Archipelago),0,2,At Risk
501,64,6,4695,Estonia,0,4,High Value
502,50,52,981,Lao People's Democratic Republic,1,3,Dormant
503,3,62,3500,Japan,1,0,Dormant
504,40,55,3299,Samoa,1,0,Dormant
505,62,29,4453,Lesotho,0,4,High Value
506,50,23,1470,Netherlands,0,1,Loyal
507,39,20,2759,Nepal,0,2,At Risk
508,17,52,4372,Cape Verde,1,0,Dormant
509,45,81,4304,Canada,1,0,Dormant
510,58,63,693,Gambia,1,3,Dormant
511,7,19,775,Belize,0,2,At Risk
512,90,5,1045,Bouvet Island (Bouvetoya),0,1,Loyal
513,94,6,3389,Sweden,0,4,High Value
514,40,42,1274,Azerbaijan,0,3,Dormant
515,15,27,1381,Senegal,0,2,At Risk
516,13,73,3851,Cook Islands,1,0,Dormant
517,48,13,3831,Montenegro,0,2,At Risk
518,38,71,2790,Benin,1,0,Dormant
519,70,18,1468,Equatorial Guinea,0,1,Loyal
520,34,22,748,French Southern Territories,0,2,At Risk
521,21,48,2164,Mongolia,1,2,At Risk
522,22,52,2603,Korea,1,0,Dormant
523,95,78,144,French Southern Territories,1,3,Dormant
524,9,74,787,Sudan,1,3,Dormant
525,51,18,1759,South Africa,0,1,Loyal
526,90,7,2393,Colombia,0,1,Loyal
527,19,15,483,Guinea,0,2,At Risk
528,34,48,887,Japan,1,3,Dormant
529,30,30,2321,Comoros,0,2,At Risk
530,40,77,3839,Cuba,1,0,Dormant
531,2,24,4935,Bosnia and Herzegovina,0,2,At Risk
532,58,81,4338,Israel,1,0,Dormant
533,59,16,4558,Croatia,0,4,High Value
534,97,42,3072,Portugal,0,4,High Value
535,55,41,3874,Uruguay,0,4,High Value
536,54,68,2693,Macao,1,3,Dormant
537,89,29,1502,Cayman Islands,0,1,Loyal
538,43,32,1220,Cocos (Keeling) Islands,0,1,Loyal
539,74,51,3672,Bermuda,1,4,High Value
540,53,45,4203,Comoros,0,4,High Value
541,74,32,1076,Tonga,0,1,Loyal
542,89,33,2175,France,0,1,Loyal
543,91,46,3320,Norway,1,4,High Value
544,58,4,2940,Malta,0,2,At Risk
545,39,16,4764,Venezuela,0,2,At Risk
546,11,75,4353,San Marino,1,0,Dormant
547,82,42,2681,Cayman Islands,0,4,High Value
548,22,61,838,Bolivia,1,3,Dormant
549,55,43,2741,Bolivia,0,4,High Value
550,30,39,1642,Netherlands,0,2,At Risk
551,24,21,2907,Greece,0,2,At Risk
552,92,54,3915,Albania,1,4,High Value
553,16,5,3700,Ethiopia,0,2,At Risk
554,94,60,3093,Montenegro,1,4,High Value
555,99,4,2237,Guadeloupe,0,1,Loyal
556,6,57,1077,Martinique,1,3,Dormant
557,11,35,1735,Tuvalu,0,2,At Risk
558,62,55,4743,Saint Pierre and Miquelon,1,4,High Value
559,77,2,366,Finland,0,1,Loyal
560,29,25,2208,United States Minor Outlying Islands,0,2,At Risk
561,62,73,1136,Gambia,1,3,Dormant
562,92,30,1892,Moldova,0,1,Loyal
563,97,2,1146,Falkland Islands (Malvinas),0,1,Loyal
564,98,59,4323,Peru,1,4,High Value
565,73,81,849,Eritrea,1,3,Dormant
566,9,6,2885,Brazil,0,2,At Risk
567,67,13,1549,Gabon,0,1,Loyal
568,85,90,23,Montserrat,1,3,Dormant
569,38,34,4836,Armenia,0,0,Dormant
570,81,15,392,United Kingdom,0,1,Loyal
571,54,9,3838,British Virgin Islands,0,2,At Risk
572,85,79,98,Guernsey,1,3,Dormant
573,68,72,1585,Mauritania,1,3,Dormant
574,21,49,3968,Saint Martin,1,0,Dormant
575,38,31,4307,Dominica,0,2,At Risk
576,61,65,3035,Svalbard & Jan Mayen Islands,1,4,High Value
577,66,72,1312,Suriname,1,3,Dormant
